Dept,Course,Description,Section,Comp,Del,StartMonth,StartDay,EndMonth,EndDay,ClassDayOfWeek,ClassHour,ClassDuration,Room,ProfFirstName,ProfLastName
ACFN,ACCT2121,Financial Accounting Concepts,1,1,1,1,4,4,20,Monday,8.5,1.5,EB3130,Jason,Tang
ACFN,ACCT2121,Financial Accounting Concepts,1,1,1,1,4,4,20,Wednesday,8.5,1.5,EB3130,Jason,Tang
ACFN,ACCT2121,Financial Accounting Concepts,1,501,1,1,4,4,20,Wednesday,17,1,EB2136,,
ACFN,ACCT2121,Financial Accounting Concepts,10,10,1,1,4,4,20,Tuesday,13,1.5,EB3120,,
ACFN,ACCT2121,Financial Accounting Concepts,10,10,1,1,4,4,20,Thursday,13,1.5,EB3120,,
ACFN,ACCT2121,Financial Accounting Concepts,10,510,1,1,4,4,20,Thursday,17,1,EB2128,,
ACFN,ACCT2121,Financial Accounting Concepts,11,11,1,1,4,4,20,Tuesday,14.5,1.5,EB3120,,
ACFN,ACCT2121,Financial Accounting Concepts,11,11,1,1,4,4,20,Thursday,14.5,1.5,EB3120,,
ACFN,ACCT2121,Financial Accounting Concepts,11,511,1,1,4,4,20,Thursday,18,1,EB2128,,
ACFN,ACCT2121,Financial Accounting Concepts,12,12,1,1,4,4,20,Tuesday,16,1.5,EB3120,,
ACFN,ACCT2121,Financial Accounting Concepts,12,12,1,1,4,4,20,Thursday,16,1.5,EB3120,,
ACFN,ACCT2121,Financial Accounting Concepts,12,512,1,1,4,4,20,Thursday,19,1,EB2128,,
ACFN,ACCT2121,Financial Accounting Concepts,13,13,1,1,4,4,20,Tuesday,18,3,EB2136,,
ACFN,ACCT2121,Financial Accounting Concepts,13,513,1,1,4,4,20,Wednesday,20,1,EB2128,,
ACFN,ACCT2121,Financial Accounting Concepts,2,2,1,1,4,4,20,Monday,10,1.5,EB3130,Jason,Tang
ACFN,ACCT2121,Financial Accounting Concepts,2,2,1,1,4,4,20,Wednesday,10,1.5,EB3130,Jason,Tang
ACFN,ACCT2121,Financial Accounting Concepts,2,502,1,1,4,4,20,Wednesday,18,1,EB2136,,
ACFN,ACCT2121,Financial Accounting Concepts,3,3,1,1,4,4,20,Monday,13,1.5,EB3120,Simon,Magennis
ACFN,ACCT2121,Financial Accounting Concepts,3,3,1,1,4,4,20,Wednesday,13,1.5,EB3120,Simon,Magennis
ACFN,ACCT2121,Financial Accounting Concepts,3,503,1,1,4,4,20,Wednesday,19,1,EB2136,,
ACFN,ACCT2121,Financial Accounting Concepts,4,4,1,1,4,4,20,Monday,14.5,1.5,EB3120,Simon,Magennis
ACFN,ACCT2121,Financial Accounting Concepts,4,4,1,1,4,4,20,Wednesday,14.5,1.5,EB3120,Simon,Magennis
ACFN,ACCT2121,Financial Accounting Concepts,4,504,1,1,4,4,20,Wednesday,17,1,EB2128,,
